用例ID,模块,页面,测试点,用例标题,预置条件,测试步骤,预期结果,测试结果,优先级,严重级别,测试类型
TC-SYS-007,统计与系统管理模块,用户新增页,验证新增用户必填项缺失,必填项留空,已登录admin,1.进入新增用户；2.用户名留空或密码留空；3.点击保存,前端校验拦截提示必填项；不发请求,未执行,P2,一般,UI校验
TC-SYS-008,统计与系统管理模块,通知公告列表页,验证公告列表展示,查看公告列表,已登录任意角色,1.进入通知公告页；2.查看列表,列表展示公告标题发布人发布时间置顶标识；置顶公告排前；分页正常,未执行,P1,一般,功能测试
TC-SYS-009,统计与系统管理模块,公告发布页,验证发布通知公告,正常发布公告,已登录admin,1.进入公告管理点击发布；2.输入标题关于2026年度申报通知；3.输入正文；4.选择是否置顶；5.点击发布,POST公告接口返回code=200；公告列表新增记录；前端用户可见新公告；发布人为当前admin,未执行,P1,严重,功能测试
TC-SYS-010,统计与系统管理模块,公告列表页,验证公告置顶,置顶公告,已登录admin；存在普通公告,1.在公告列表对某公告点击置顶；2.确认,公告is_top变为1；列表中该公告置顶排序靠前；再次点击取消置顶,未执行,P2,一般,业务规则校验
TC-SYS-011,统计与系统管理模块,公告编辑页,验证编辑公告,修改公告内容,已登录admin；存在公告,1.对公告点击编辑；2.修改标题与正文；3.点击保存,PUT接口返回code=200；列表内容更新；发布时间保持原值或更新为编辑时间,未执行,P2,一般,功能测试
TC-SYS-012,统计与系统管理模块,公告列表页,验证删除公告,删除公告,已登录admin；存在公告,1.对公告点击删除；2.确认删除,DELETE接口返回code=200；列表移除该公告；前端用户不再可见,未执行,P2,一般,功能测试
TC-SYS-013,统计与系统管理模块,系统日志页,验证系统日志查询,查看操作日志,已登录admin；存在操作日志,1.进入系统管理-系统日志；2.查看日志列表,列表展示操作人操作类型操作时间请求路径；LogAspect记录入库；分页正常；可按用户筛选,未执行,P1,一般,功能测试
TC-SYS-014,统计与系统管理模块,系统日志页,验证日志按用户筛选,日志筛选,已登录admin,1.进入系统日志；2.选择操作人student1；3.查询,列表仅展示student1操作日志；切换用户刷新；筛选与后端查询一致,未执行,P2,一般,功能测试
TC-SYS-015,统计与系统管理模块,用户列表页,验证用户列表分页边界,分页首末页超页,已登录admin；用户数大于1页,1.进入用户列表第1页；2.翻到末页；3.点击下一页,末页正确展示；下一页置灰或提示无更多；页码跳转正常不报错,未执行,P2,一般,边界测试
TC-SYS-016,统计与系统管理模块,用户列表页,验证用户列表搜索,按用户名搜索,已登录admin；存在用户student1,1.进入用户管理；2.搜索框输入student；3.点击查询,列表仅展示匹配用户；模糊匹配正确；清空搜索恢复全部,未执行,P2,一般,功能测试
TC-SYS-017,统计与系统管理模块,公告发布页,验证公告标题超长,标题超最大长度,已登录admin,1.进入公告发布；2.标题输入300字符超长；3.点击发布,校验拦截提示标题长度超限；或后端截断；不发布异常,未执行,P2,一般,边界测试
TC-SYS-018,统计与系统管理模块,公告发布页,验证公告正文为空,正文留空,已登录admin,1.进入公告发布；2.标题填写；3.正文不输入；4.点击发布,校验拦截提示请输入公告内容；不发布空内容公告,未执行,P2,一般,UI校验
TC-SYS-019,统计与系统管理模块,系统日志页,验证日志详情查看,查看单条日志详情,已登录admin；存在日志,1.进入系统日志；2.点击某条日志查看详情,弹窗或详情页展示完整日志信息；含请求参数响应耗时IP；详情与库一致,未执行,P2,轻微,功能测试
TC-SYS-020,统计与系统管理模块,用户管理页,验证用户管理仅ADMIN可访问,非管理员访问,已登录secretary,1.登录secretary；2.地址栏输入/system/user,路由守卫拦截重定向首页；直接调接口返回403,未执行,P1,严重,权限测试
TC-SYS-021,统计与系统管理模块,统计看板,验证图表数据与列表一致,图表与明细核对,已登录任意角色,1.进入统计看板记录各类总数；2.进入对应成果列表统计实际数；3.对比,图表展示数量与列表实际记录数一致；无数据偏差,未执行,P1,一般,业务规则校验
TC-SYS-022,统计与系统管理模块,用户列表页,验证用户状态切换实时生效,禁用后立即登录,已登录admin；存在用户testuser,1.禁用testuser；2.立即用testuser登录,登录失败提示账号已禁用；状态变更实时生效无需重启,未执行,P1,严重,业务规则校验
TC-SYS-023,统计与系统管理模块,统计看板,验证单类成果统计接口,单类统计,已登录任意角色,1.进入统计看板；2.分别查看竞赛/大创/软著/论文单类统计,GET /api/statistics/competition等四接口均返回code=200；各类分组与状态计数正确,未执行,P1,一般,功能测试
TC-SYS-024,统计与系统管理模块,系统日志页,验证日志记录审核操作,审核操作留痕,已登录secretary执行审核,1.secretary审核通过某成果；2.admin登录查看系统日志,日志列表新增审核操作记录；含操作人secretary操作类型审核接口路径时间,未执行,P2,一般,业务规则校验
TC-SYS-025,统计与系统管理模块,用户列表页,验证分页每页条数切换,切换pageSize,已登录admin；用户数充足,1.进入用户管理；2.每页条数切换为50；3.查看列表,列表按50条每页展示；总页数更新；切换10/20/50均正常,未执行,P2,轻微,功能测试
TC-SYS-026,统计与系统管理模块,通知公告页,验证公告排序规则,置顶与时间排序,已登录任意角色；存在多条公告,1.进入通知公告页；2.查看列表排序,置顶公告(is_top=1)排在最前；非置顶按发布时间倒序；排序稳定,未执行,P2,轻微,业务规则校验
TC-SYS-027,统计与系统管理模块,公告发布页,验证公告标题恰好200字符等于VARCHAR(200)上限,标题边界等于上限,announcement.title列VARCHAR(200) NOT NULL,1.admin登录进入/system/announcement发布；2.标题精确200字符；3.正文合法；4.点击发布,POST返回code=200；200字符完整入库不截断；公告列表展示完整标题；中文4字节字符不乱码,未执行,P2,一般,边界测试
